"Film Name","Film Length","Length Category"
"Chamber Italian",117,"Medium"
"Grosse Wonderful",49,"Short"
"Airport Pollock",54,"Short"
"Bright Encounters",73,"Short"
"Academy Dinosaur",86,"Short"
"Ace Goldfinger",48,"Short"
"Adaptation Holes",50,"Short"
"Affair Prejudice",117,"Medium"
"African Egg",130,"Long"
"Agent Truman",169,"Long"
"Airplane Sierra",62,"Short"
"Alabama Devil",114,"Medium"
"Aladdin Calendar",63,"Short"
"Alamo Videotape",126,"Long"
"Alaska Phantom",136,"Long"
"Date Speed",104,"Medium"
"Ali Forever",150,"Long"
"Alice Fantasia",94,"Medium"
"Alien Center",46,"Short"
"Alley Evolution",180,"Long"
"Alone Trip",82,"Short"
"Alter Victory",57,"Short"
"Amadeus Holy",113,"Medium"
"Amelie Hellfighters",79,"Short"
"American Circus",129,"Long"
"Amistad Midsummer",85,"Short"
"Anaconda Confessions",92,"Medium"
"Analyze Hoosiers",181,"Long"
"Angels Life",74,"Short"
"Annie Identity",86,"Short"
"Anonymous Human",179,"Long"
"Anthem Luke",91,"Medium"
"Antitrust Tomatoes",168,"Long"
"Anything Savannah",82,"Short"
"Apache Divine",92,"Medium"
"Apocalypse Flamingos",119,"Medium"
"Apollo Teen",153,"Long"
"Arabia Dogma",62,"Short"
"Arachnophobia Rollercoaster",147,"Long"
"Argonauts Town",127,"Long"
"Arizona Bang",121,"Long"
"Ark Ridgemont",68,"Short"
"Armageddon Lost",99,"Medium"
"Army Flintstones",148,"Long"
"Arsenic Independence",137,"Long"
"Artist Coldblooded",170,"Long"
"Dying Maker",168,"Long"
"Atlantis Cause",170,"Long"
"Attacks Hate",113,"Medium"
"Attraction Newton",83,"Short"
"Autumn Crow",108,"Medium"
"Baby Hall",153,"Long"
"Backlash Undefeated",118,"Medium"
"Badman Dawn",162,"Long"
"Baked Cleopatra",182,"Long"
"Casualties Encino",179,"Long"
"Balloon Homeward",75,"Short"
"Ballroom Mockingbird",173,"Long"
"Bang Kwai",87,"Short"
"Banger Pinocchio",113,"Medium"
"Barbarella Streetcar",65,"Short"
"Barefoot Manchurian",129,"Long"
"Basic Easy",90,"Short"
"Beach Heartbreakers",122,"Long"
"Bear Graceland",160,"Long"
"Beast Hunchback",89,"Short"
"Beauty Grease",175,"Long"
"Bed Highball",106,"Medium"
"Bedazzled Married",73,"Short"
"Beethoven Exorcist",151,"Long"
"Behavior Runaway",100,"Medium"
"Beneath Rush",53,"Short"
"Berets Agent",77,"Short"
"Betrayed Rear",122,"Long"
"Beverly Outlaw",85,"Short"
"Bikini Borrowers",142,"Long"
"Bilko Anonymous",100,"Medium"
"Bill Others",93,"Medium"
"Bingo Talented",150,"Long"
"Birch Antitrust",162,"Long"
"Bird Independence",163,"Long"
"Birdcage Casper",103,"Medium"
"Birds Perdition",61,"Short"
"Blackout Private",85,"Short"
"Blade Polish",114,"Medium"
"Blanket Beverly",148,"Long"
"Blindness Gun",103,"Medium"
"Blood Argonauts",71,"Short"
"Blues Instinct",50,"Short"
"Boiled Dares",102,"Medium"
"Bonnie Holocaust",63,"Short"
"Boogie Amelie",121,"Long"
"Boondock Ballroom",76,"Short"
"Born Spinal",179,"Long"
"Borrowers Bedazzled",63,"Short"
"Boulevard Mob",63,"Short"
"Bound Cheaper",98,"Medium"
"Bowfinger Gables",72,"Short"
"Brannigan Sunrise",121,"Long"
"Braveheart Human",176,"Long"
"Breakfast Goldfinger",123,"Long"
"Breaking Home",169,"Long"
"Bride Intrigue",56,"Short"
"Bringing Hysterical",136,"Long"
"Brooklyn Desert",161,"Long"
"Brotherhood Blanket",73,"Short"
"Bubble Grosse",60,"Short"
"Bucket Brotherhood",133,"Long"
"Bugsy Song",119,"Medium"
"Bull Shawshank",125,"Long"
"Bulworth Commandments",61,"Short"
"Bunch Minds",63,"Short"
"Butch Panther",67,"Short"
"Butterfly Chocolat",89,"Short"
"Cabin Flash",53,"Short"
"Caddyshack Jedi",52,"Short"
"Calendar Gunfight",120,"Medium"
"California Birds",75,"Short"
"Camelot Vacation",61,"Short"
"Campus Remember",167,"Long"
"Candidate Perdition",70,"Short"
"Candles Grapes",135,"Long"
"Canyon Stock",85,"Short"
"Caper Motions",176,"Long"
"Caribbean Liberty",92,"Medium"
"Carol Texas",151,"Long"
"Carrie Bunch",114,"Medium"
"Casablanca Super",85,"Short"
"Casper Dragonfly",163,"Long"
"Cassidy Wyoming",61,"Short"
"Cat Coneheads",112,"Medium"
"Catch Amistad",183,"Long"
"Cause Date",179,"Long"
"Celebrity Horn",110,"Medium"
"Center Dinosaur",152,"Long"
"Chainsaw Uptown",114,"Medium"
"Champion Flatliners",51,"Short"
"Chance Resurrection",70,"Short"
"Clash Freddy",81,"Short"
"Chaplin License",146,"Long"
"Charade Duffel",66,"Short"
"Chariots Conspiracy",71,"Short"
"Chasing Fight",114,"Medium"
"Cheaper Clyde",87,"Short"
"Chicago North",185,"Long"
"Chicken Hellfighters",122,"Long"
"Chill Luck",142,"Long"
"Chinatown Gladiator",61,"Short"
"Chisum Behavior",124,"Long"
"Chitty Lock",107,"Medium"
"Chocolat Harry",101,"Medium"
"Chocolate Duck",132,"Long"
"Christmas Moonshine",150,"Long"
"Cider Desire",101,"Medium"
"Cincinatti Whisperer",143,"Long"
"Circus Youth",90,"Short"
"Citizen Shrek",165,"Long"
"Cleopatra Devil",150,"Long"
"Clerks Angels",164,"Long"
"Clockwork Paradise",143,"Long"
"Clones Pinocchio",124,"Long"
"Closer Bang",58,"Short"
"Club Graffiti",65,"Short"
"Clue Grail",70,"Short"
"Clueless Bucket",95,"Medium"
"Clyde Theory",139,"Long"
"Coast Rainbow",55,"Short"
"Core Suit",92,"Medium"
"Coldblooded Darling",70,"Short"
"Color Philadelphia",149,"Long"
"Coma Head",109,"Medium"
"Comancheros Enemy",67,"Short"
"Comforts Rush",76,"Short"
"Command Darling",120,"Medium"
"Commandments Express",59,"Short"
"Coneheads Smoochy",112,"Medium"
"Confessions Maguire",65,"Short"
"Confidential Interview",180,"Long"
"Confused Candles",122,"Long"
"Congeniality Quest",87,"Short"
"Connecticut Tramp",172,"Long"
"Connection Microcosmos",115,"Medium"
"Conquerer Nuts",173,"Long"
"Conspiracy Spirit",184,"Long"
"Contact Anonymous",166,"Long"
"Control Anthem",185,"Long"
"Conversation Downhill",112,"Medium"
"Cowboy Doom",146,"Long"
"Craft Outfield",64,"Short"
"Cranes Reservoir",57,"Short"
"Crazy Home",136,"Long"
"Creatures Shakespeare",139,"Long"
"Creepers Kane",172,"Long"
"Crooked Frogmen",143,"Long"
"Crossing Divorce",50,"Short"
"Crossroads Casualties",153,"Long"
"Crow Grease",104,"Medium"
"Crowds Telemark",112,"Medium"
"Cruelty Unforgiven",69,"Short"
"Crusade Honey",112,"Medium"
"Crystal Breaking",184,"Long"
"Cupboard Sinners",56,"Short"
"Curtain Videotape",133,"Long"
"Cyclone Family",176,"Long"
"Daddy Pittsburgh",161,"Long"
"Daisy Menagerie",84,"Short"
"Dalmations Sweden",106,"Medium"
"Dances None",58,"Short"
"Dancing Fever",144,"Long"
